C:\Users\Genevieve\.jdks\openjdk-15.0.1\bin\java.exe "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2020.2.3\lib\idea_rt.jar=55373:C:\Program Files\JetBrains\IntelliJ IDEA 2020.2.3\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Genevieve\Desktop\PokerHighHandSimulator\out\production\PokerHighHandSimulator;C:\Users\Genevieve\Desktop\commons-cli-1.5.0.jar main.Main --simulationDuration 10000 --numHandsPerHour 25 --highHandMinimumQualifier 22233 --highHandDuration 1 --numNlhTables 1 --numPloTables 1 --numPlayersPerTable 8 --ploHighHandMinimumQualifier 5555A --noPloFlopRestriction
================ HighHandSimulator ================
numNlhTables=1
numPloTables=1
numHandsPerHour=25
numPlayersPerTable=8
simulationDuration=PT10000H
highHand=[HighHand: nlhMinimumQualifyingHand=[PokerHand: handType=FULL_HOUSE {2 2 2 3 3}], ploMinimumQualifyingHand=[PokerHand: handType=QUADS {5 5 5 5 A}], highHandPeriod=PT1H]
shouldFilterPreflop=false

=============== SIMULATION RESULTS ===============
[Hour=0, Hand=[PokerHand: handType=FULL_HOUSE {2d 2s Tc Td Ts}], isPlo=false]
[Hour=1, Hand=[PokerHand: handType=QUADS {Kc Ad Ac As Ah} (flopped=false)], isPlo=true]
[Hour=2, Hand=[PokerHand: handType=FULL_HOUSE {3c 3h Qd Qc Qs}], isPlo=false]
[Hour=3, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=false)], isPlo=true]
[Hour=4, Hand=[PokerHand: handType=QUADS {Ks Ad Ah Ac As} (flopped=false)], isPlo=true]
[Hour=5, Hand=[PokerHand: handType=QUADS {Js Kh Kd Kc Ks} (flopped=true)], isPlo=true]
[Hour=6, Hand=[PokerHand: handType=QUADS {6h 6d 6s 6c 7s} (flopped=false)], isPlo=true]
[Hour=7, Hand=[PokerHand: handType=QUADS {8d 8h 8s 8c Th} (flopped=false)], isPlo=true]
[Hour=8, Hand=[PokerHand: handType=FULL_HOUSE {4h 4s Qs Qc Qh}], isPlo=false]
