s} (flopped=false)], isPlo=true]
[Hour=87847, Hand=[PokerHand: handType=QUADS {8c 8s 8d 8h Jh} (flopped=true)], isPlo=true]
[Hour=87848, Hand=[PokerHand: handType=QUADS {Qd Qs Qh Qc Ad} (flopped=false)], isPlo=true]
[Hour=87849, Hand=[PokerHand: handType=QUADS {Th Ts Tc Td As} (flopped=false)], isPlo=true]
[Hour=87850, Hand=[PokerHand: handType=FULL_HOUSE {5d 5h Ah As Ac}], isPlo=false]
[Hour=87851, Hand=[PokerHand: handType=QUADS {Kd As Ah Ac Ad} (flopped=false)], isPlo=true]
[Hour=87852, Hand=[PokerHand: handType=FULL_HOUSE {8h 8c Kd Ks Kh}], isPlo=false]
[Hour=87853, Hand=[PokerHand: handType=QUADS {Tc Js Jh Jc Jd} (flopped=false)], isPlo=true]
[Hour=87854, Hand=[PokerHand: handType=FULL_HOUSE {7c 7d 7s Ad Ac}], isPlo=false]
[Hour=87855, Hand=[PokerHand: handType=FULL_HOUSE {6h 6s 6c Ad Ah}], isPlo=false]
[Hour=87856, Hand=[PokerHand: handType=QUADS {Qs Qd Qc Qh Ad} (flopped=false)], isPlo=true]
[Hour=87857, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s 5h 5d 5c}], isPlo=false]
[Hour=87858, Hand=[PokerHand: handType=QUADS {Ks Kh Kd Kc Ah} (flopped=false)], isPlo=true]
[Hour=87859, Hand=[PokerHand: handType=QUADS {8c 8h 8s 8d Ac}], isPlo=false]
[Hour=87860, Hand=[PokerHand: handType=QUADS {6d Qc Qd Qs Qh}], isPlo=false]
[Hour=87861, Hand=[PokerHand: handType=FULL_HOUSE {9h 9c Ks Kd Kc}], isPlo=false]
[Hour=87862, Hand=[PokerHand: handType=FULL_HOUSE {3c 3d Jd Jh Js}], isPlo=false]
[Hour=87863, Hand=[PokerHand: handType=FULL_HOUSE {8c 8d 8h Qh Qs}], isPlo=false]
[Hour=87864, Hand=[PokerHand: handType=FULL_HOUSE {9d 9s 9h Qh Qs}], isPlo=false]
[Hour=87865, Hand=[PokerHand: handType=QUADS {9c 9d 9s 9h Qh} (flopped=false)], isPlo=true]
[Hour=87866, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=87867, Hand=[PokerHand: handType=FULL_HOUSE {6s 6d 6c 8h 8d}], isPlo=false]
[Hour=87868, Hand=[PokerHand: handType=FULL_HOUSE {Jd Jh Ks Kd Kc}], isPlo=false]
[Hour=87869, Hand=[PokerHand: handType=FULL_HOUSE {Js Jc Qc Qd Qh}], isPlo=false]
[Hour=87870, Hand=[PokerHand: handType=FULL_HOUSE {9h 9s Tc Td Th}], isPlo=false]
[Hour=87871, Hand=[PokerHand: handType=FULL_HOUSE {Js Jd Kd Kh Ks}], isPlo=false]
[Hour=87872, Hand=[PokerHand: handType=QUADS {7h 7c 7s 7d Jc}], isPlo=false]
[Hour=87873, Hand=[PokerHand: handType=QUADS {Js Ah Ac Ad As} (flopped=false)], isPlo=true]
[Hour=87874, Hand=[PokerHand: handType=QUADS {8s Td Tc Th Ts} (flopped=false)], isPlo=true]
