, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d}], isPlo=false]
[Hour=88422, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=88423, Hand=[PokerHand: handType=QUADS {Qh Qs Qd Qc Kc} (flopped=false)], isPlo=true]
[Hour=88424, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=false)], isPlo=true]
[Hour=88425, Hand=[PokerHand: handType=QUADS {8d 8s 8h 8c Jh} (flopped=false)], isPlo=true]
[Hour=88426, Hand=[PokerHand: handType=FULL_HOUSE {8h 8d Ah Ac Ad}], isPlo=false]
[Hour=88427, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=88428, Hand=[PokerHand: handType=QUADS {Qs Qd Qh Qc Ah} (flopped=false)], isPlo=true]
[Hour=88429, Hand=[PokerHand: handType=QUADS {Qd Qh Qs Qc Ah}], isPlo=false]
[Hour=88430, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=88431, Hand=[PokerHand: handType=QUADS {9c Ts Tc Th Td} (flopped=false)], isPlo=true]
[Hour=88432, Hand=[PokerHand: handType=QUADS {9c Jc Js Jh Jd} (flopped=false)], isPlo=true]
[Hour=88433, Hand=[PokerHand: handType=QUADS {Td Qd Qh Qs Qc}], isPlo=false]
[Hour=88434, Hand=[PokerHand: handType=QUADS {9s 9c 9d 9h Qc} (flopped=false)], isPlo=true]
[Hour=88435, Hand=[PokerHand: handType=QUADS {5s 5d 5c 5h Ad}], isPlo=false]
[Hour=88436, Hand=[PokerHand: handType=QUADS {8c Ah As Ac Ad}], isPlo=false]
[Hour=88437, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=88438, Hand=[PokerHand: handType=QUADS {Jh Ac As Ad Ah} (flopped=false)], isPlo=true]
[Hour=88439, Hand=[PokerHand: handType=QUADS {9c Js Jc Jh Jd} (flopped=false)], isPlo=true]
[Hour=88440, Hand=[PokerHand: handType=QUADS {2c 7s 7h 7c 7d}], isPlo=false]
[Hour=88441, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts} (flopped=false)], isPlo=true]
[Hour=88442, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks} (flopped=false)], isPlo=true]
[Hour=88443, Hand=[PokerHand: handType=QUADS {Qc Qs Qh Qd Ad} (flopped=false)], isPlo=true]
[Hour=88444, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=88445, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=88446, Hand=[PokerHand: handType=QUADS {8d Ah As Ac Ad} (flopped=true)], isPlo=true]
[Hour=88447, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=88448, Hand=[PokerHand: handType=FULL_HOUSE {7h 7d Tc Ts Th}], isPlo=false]
[Hour=88449, Hand=[PokerHand: handType=QUADS {2c 3h 3c 3d 3s}], isPlo=false]
[Hour=88450, Hand=[PokerHand: handType=QUADS {9d 9s 9c 9h Th} (flopped=false)], isPlo=true]
[Hour=88451, Hand=[PokerHand: handType=QUADS {Tc Td Ts Th Ac} (flopped=false)], isPlo=true]
[Hour=88452, Hand=[PokerHand: handType=QUADS {Js Ah As Ac Ad} (flopped=false)], isPlo=true]
[Hour=88453, Hand=[PokerHand: handType=QUADS {3c Qs Qc Qd Qh}], isPlo=false]
[Hour=88454, Hand=[PokerHand: handType=QUADS {9h 9d 9c 9s Ks} (flopped=false)], isPlo=true]
[Hour=88455, Hand=[PokerHand: handType=FULL_HOUSE {Jd Jc Jh Kc Kh}], isPlo=false]
[Hour=88456, Hand=[PokerHand: handType=FULL_HOUSE {5c 5h Th Td Ts}], isPlo=false]
[Hour=88457, Hand=[PokerHand: handType=QUADS {Ts Td Th Tc Kd} (flopped=false)], isPlo=true]
[Hour=88458, Hand=[PokerHand: handType=QUADS {Jh Js Jc Jd Ad} (flopped=false)], isPlo=true]
[Hour=88459, Hand=[PokerHand: handType=QUADS {4s Ks Kc Kd Kh}], isPlo=false]
[Hour=88460, Hand=[PokerHand: handType=QUADS {8s Ac Ah As Ad}], isPlo=false]
[Hour=88461, Hand=[PokerHand: handType=QUADS {Th Td Ts Tc Qs} (flopped=false)], isPlo=true]
[Hour=88462, Hand=[PokerHand: handType=QUADS {Ts Td Tc Th Qd}], isPlo=false]
[Hour=88463, Hand=[PokerHand: handType=FULL_HOUSE {6s 6d Ah Ac As}], isPlo=false]
[Hour=88464, Hand=[PokerHand: handType=QUADS {Qd Qc Qs Qh As}], isPlo=false]
[Hour=88465, Hand=[PokerHand: handType=QUADS {Jh As Ah Ad Ac}], isPlo=false]
[Hour=88466, Hand=[PokerHand: handType=QUADS {Tc Th Ts Td Jd}], isPlo=false]
[Hour=88467, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9d Td Jd Qd Kd} (flopped=false)], isPlo=true]
[Hour=88468, Hand=[PokerHand: handType=QUADS {8c Kd Ks Kh Kc}], isPlo=false]
[Hour=88469, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=88470, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=false)], isPlo=true]
[Hour=88471, Hand=[PokerHand: handType=QUADS {Kc Ks Kd Kh As} (flopped=false)], isPlo=true]
[Hour=88472, Hand=[PokerHand: handType=QUADS {Jh Jd Jc Js As} (flopped=false)], isPlo=true]
[Hour=88473, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=false)], isPlo=true]
[Hour=88474, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
